ID;Наименование товара;Ссылка на товар;Регулярная цена;Промо цена;Бренд
1027904;Monoprotein Sterilised корм для стерилизованных кошек, с уткой, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/monge-cat-monoprotein-sterilized-duck-korm-dlya-sterilizovannyh-koshek-s-u.html?offer=81113;1719;;Monge
1020143;Sterilised влажный корм для взрослых кошек для стерилизованных с океанической рыбой, в соусе, 85 г;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_Nutri_Savour_konservirovannyy_korm_dlya_koshek_s_okeanicheskoy_ryboy_pak_85g_1020143.html?offer=44295;87;;Pro Plan ®
1043142;N&D PRIME сухой корм для кошек, с ягненком и черникой, 1,5кг;https://4lapy.ru/catalog/koshki/korm-koshki/farmina-n-d-prime-cat-lamb-blueberry-adult-300g.html?offer=119896;2725;;Farmina
1040173;Сухой корм для домашних кошек, четыре вида мяса, 2 кг;https://4lapy.ru/catalog/koshki/korm-koshki/suhoy-korm-grandorf-dlya-domashnih-koshek-chetyre-vida-myasa-s-burym-risom-400g.html?offer=112526;2569;;Grandorf
1043181;Vet Life Gastrointestinal диетический сухой корм для кошек при заболеваниях ЖКТ, с курицей, 2кг;https://4lapy.ru/catalog/koshki/korm-koshki/vet-life-natural-diet-cat-gastro-intestinal-400-gr.html?offer=120008;3045;;Farmina
1004621;Sterilised Сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации, с кроликом, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_kuritsakrolik.html?offer=41891;1755;1492;Pro Plan ®
1000002;Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с лососем, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshekosostunets.html?offer=41879;1755;1492;Pro Plan ®
1016932;Sterilised влажный корм для взрослых кошек для стерилизованных с индейкой, в желе, 85 г;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_Nutri_Savour_Sterilised_konservirovannyy_korm_dlya_sterilizovannyh_koshek_s_Indeykoy__1016932.html?offer=44088;87;;Pro Plan ®
1051856;Влажный корм (консервы) для взрослых кошек, филе тунца с топпингом из креветок в желе, 80 гр.;https://4lapy.ru/catalog/koshki/korm-koshki/konservirovannyy-korm-dlya-vzroslykh-koshek-file-tuntsa-s-toppingom-iz-krevetok-v-zhele.html?offer=140669;149;;Grandin
1000862;Urinary S/O LP34 корм для кошек при заболеваниях дистального отдела мочевыделительной системы, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/Royal_Canin_Urinary_SO_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html?offer=42570;2285;;Royal Canin
1054707;Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/korm-suhoy-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-indeykoy-i-lososem.html?offer=148706;1499;;Mealfeel
1004622;Delicate сухой корм для взрослых кошек при чувствительном пищеварении с индейкой, 1,5 кг;https://4lapy.ru/catalog/koshki/korm-koshki/Pro_Plan_Delicate_suhoy_korm_dlya_koshek_s_chuvstvitelnym_pishchevareniem_indeykaris.html?offer=43214;1755;1492;Pro Plan ®
